Date,WMT
2006-05-26,34.592864990234375
2006-05-29,
2006-05-30,33.65227508544922
2006-05-31,33.75678634643555
2006-06-01,33.71498107910156
2006-06-02,33.324790954589844
2006-06-05,32.8788948059082
2006-06-06,32.76742172241211
2006-06-07,32.77437210083008
2006-06-08,32.95553207397461
2006-06-09,32.837100982666016
2006-06-12,32.73955154418945
2006-06-13,33.115779876708984
2006-06-14,33.24119567871094
2006-06-15,33.90310287475586
2006-06-16,33.65924072265625
2006-06-19,33.63138198852539
2006-06-20,33.74284362792969
2006-06-21,34.0703125
2006-06-22,33.777687072753906
2006-06-23,33.40143585205078
2006-06-26,33.49201965332031
2006-06-27,33.185455322265625
2006-06-28,33.38752365112305
2006-06-29,33.93793487548828
2006-06-30,33.56169509887695
2006-07-03,33.143638610839844
2006-07-04,
2006-07-05,32.760459899902344
2006-07-06,32.551422119140625
2006-07-07,32.04978561401367
2006-07-10,32.17519760131836
2006-07-11,32.14035415649414
2006-07-12,31.45755958557129
2006-07-13,30.76779556274414
2006-07-14,29.994422912597656
2006-07-17,29.973506927490234
2006-07-18,30.078018188476562
2006-07-19,30.7956600189209
2006-07-20,30.858360290527344
2006-07-21,30.46122932434082
2006-07-24,30.955907821655273
2006-07-25,31.123109817504883
2006-07-26,30.426393508911133
2006-07-27,30.328842163085938
2006-07-28,30.976802825927734
2006-07-31,31.004684448242188
2006-08-01,30.71902084350586
2006-08-02,30.91410255432129
2006-08-03,31.1649227142334
2006-08-04,31.262460708618164
2006-08-07,31.22764015197754
2006-08-08,30.976802825927734
2006-08-09,30.586641311645508
2006-08-10,31.276403427124023
2006-08-11,31.13705825805664
2006-08-14,31.422718048095703
2006-08-15,31.039518356323242
2006-08-16,31.073087692260742
2006-08-17,31.212955474853516
2006-08-18,31.11506462097168
2006-08-21,30.83530044555664
2006-08-22,30.821321487426758
2006-08-23,30.60450553894043
2006-08-24,30.562559127807617
2006-08-25,30.68842124938965
2006-08-28,31.073087692260742
2006-08-29,31.11506462097168
2006-08-30,31.20595932006836
2006-08-31,31.275917053222656
2006-09-01,31.786455154418945
2006-09-04,
2006-09-05,31.870370864868164
2006-09-06,31.75147247314453
2006-09-07,31.849384307861328
2006-09-08,32.67464065551758
2006-09-11,33.213157653808594
2006-09-12,33.61880111694336
2006-09-13,33.62579345703125
2006-09-14,33.82861328125
2006-09-15,33.72370910644531
2006-09-18,33.63978576660156
2006-09-19,33.919525146484375
2006-09-20,34.17829895019531
2006-09-21,33.891544342041016
2006-09-22,33.77266311645508
2006-09-25,34.14331817626953
2006-09-26,34.444061279296875
2006-09-27,34.618896484375
2006-09-28,34.83571243286133
2006-09-29,34.493019104003906
2006-10-02,33.87757110595703
2006-10-03,34.590919494628906
2006-10-04,34.65386962890625
2006-10-05,33.85657501220703
2006-10-06,33.79365539550781
2006-10-09,33.72370910644531
2006-10-10,33.653770446777344
2006-10-11,33.786651611328125
2006-10-12,33.79365539550781
